video_id,title,viewCount,likeCount,commentCount
YDaBv4FXI9w,Citizen TV Live,60259507,172179,0
in19F5V7iW4,RAILA AND RUTO FINALY FIGHTING AFTER HANDSHAKE #riggyg,8937464,21383,360
-OXD_p1d4tI,LIVE - Raila&#39;s Body Procession and Public Viewing,1793365,7086,5
ws9CaAY6oww,BAHATI - BYE BYE BABA (Raila Odinga Tribute Song),1687387,85990,6779
D3GOCb7U5Wk,LIVE - Ruto announcing the Death of Raila Odinga,954507,2923,3
VrSC_SBgPf4,PRINCE INDAH - TRIBUTE TO RT. HON RAILA ODINGA ,920061,37021,4369
NuKtipDhXvU,🔴 LIVE: Raila Odinga’s Final Journey Home — Lee Funeral Home to Bondo via Kisumu,900135,3593,23
A439fS1O52w,President Ruto pays last respect to Raila Odinga who is lying in state at Parliament Buildings,701711,3614,716
BuEhHwRyKXA,REVEALED: Shocking Details on What KILLED Raila Odinga in Indian hospital |Plug Tv Kenya,650902,2844,427
yF3cPVZgAeY,🔥How Raila Predicted His Death in a coded Message in Thika Funeral: Raila&#39;s last Moments,640461,5195,771
AVvSdd-keE0,"LIVE: Raila Odinga&#39;s body arrives in Kenya from India, Procession to Kasarani Stadium for viewing",566715,2363,2
0wAsoP1ZRhQ,"Situation at JKIA as Raila Odinga&#39;s body arrives from Mumbai, India",535097,4213,665
yB2nAWEFip8,AGWAMBO- VINNY FLAVA (OFFICIAL RAILA ODINGA TRIBUTE SONG),490277,21815,1069
Tl7uI3svz_s,Breaking: Flight carrying the body of Raila Odinga lands at JKIA,473682,2091,277
g5tcNrfUXE4,Raila Odinga: Doctor Reveals What KILLED him |Plug Tv Kenya,443477,2176,371
CQI6umNVn1Y,RAILA ODINGA&#39;S DAUGHTER REVEALS SHOCKING SECRETS OF THE LAST MOMENTS OF BABA RAILA ODINGA,438410,3301,284
uarWMfrnW0A,President Ruto addresses the nation following the death of former Prime Minister Raila Odinga,428728,3666,949
7xbzyDk9aO0,BREAKING: Former Prime Minister Raila Odinga dies in India,397764,2827,896
PII_sB0DPX8,RAILA ODINGA (NENDA  SALAMA)  OFFICIAL MUSIC VIDEO BY DAMIAN SANYA,398801,14443,901
EbLGSsAZz70,"President Ruto leads family, dignitaries in viewing Raila Odinga’s body at Kasarani Stadium",383977,1649,251
JJPK9gTjOug,RAILA ODINGA ft MR SEED - FAREWELL SONG #BABA #RIPRAILA ,376081,18319,1616
D5kIUA0oB48,RAYAVANNY - BYE BYE  RAILA AMOLO ODINGA (OFFICIAL LYRICS VIDEO)  . 😭😭,363582,10094,628
tHqEk-GV1ko,Who Raila Odinga really is l Today&#39;s #MIGUNAMINUTE l Dr. Miguna Miguna,414946,4705,417
4cLzPRh6r-I,Viral Video showing Raila&#39;s last Walk before Cardiac Arrest Sends Shockwaves Online,352838,1528,318
HF_KhWKUGdI,RAILA ODINGA LALA SALAMA TRIBUTE SONG BY DOGO CHARLIE (Original Song By Diamond Platnumz ),338969,11572,595
MhdtBLxMiMg,Raila in Hospital: ODM in MELTDOWN After his Health Saga Backfires! |Plug Tv Kenya,314472,1038,331
93Ja3kTLB0U,Raila Odinga&#39;s body arrives at Kasarani Stadium for public viewing,312856,1336,197
pIvwgOeBd80,Sad News!;Nuru Okanga Hospitalised Mourning Raila Odinga&#39;s Death,303735,0,491
uPzn1DbAWwc,Grave preparations for the late Raila Odinga underway in Bondo,292955,1136,116
Gf0FnSiuB-M,🔥 Raila Odinga’s Final Moments? — Leaked Video Before Cardiac Arrest Shocks Kenya,285066,1291,148
phHX-JbQ5Og,"Raila Odinga finally rests in State House, RIP Baba 😭😭🕊🇰🇪",1040448,2709,48
2274nE4yHak,ODINGA&#39;S TOMB WHERE RAILA WILL BE BURRIED #trending #breakingnews #kenyannews #bahatikenya #raila,604949,2900,78
68qeLOO-3vM,BREAKING: Raila’s Hospital Photo LEAKED by His Own Team?|Plug Tv Kenya,290398,1555,863
WCjKX3IqLMs,"LIVE: BREAKING NEWS! Raila Odinga Dies at 80 || Rest in Peace &#39;Baba, Tinga, Jakom and Thuon&#39;",266468,842,2
_ORp5xk_nPU,Rayvanny - Bye bye Raila Odinga (Song Verse Clip) ,274002,22164,1774
OjJ7tKgeN20,Mourners start streaming into Kasarani Stadium for public viewing of Raila Odinga’s body,266753,882,116
nLvjLtYfftA,RAILA AMOLLO ODINGA WITH HIS WIFE MAMA IDA ODINGA #railaodingatoday#railaodinga  #wambuim #kenyanews,664827,3679,61
iLguZY7xRNA,Raila Odinga RIP - Stephen Kasolo (Official Lyric Video),258408,0,2063
FjPnEQLVOME,"&quot;Raila was a democratic giant,&quot; CS John Mbadi mourns Raila Odinga",276986,1060,272
fccXEg-5FC8,"BREAKING NEW from ODM about Raila&#39;s Health Condition Shocks Kenyans Today,Is he he D£AD? Where&#39;s he?",261765,0,0
dazO5ceq16Y,FULL CEREMONY: Raila Odinga’s Final Journey Home | Kenya Bids Farewell to a Veteran Leader | AC1Z,241150,1129,142
bSguyXunXmY,SHOCKING PROPHECY FULFILLED! R.I.P  RAILA ODINGA,239505,2167,518
